Country,1970,1985,2000,2015
Aruba,59063,63026,90853,104341
Afghanistan,11126123,11783050,20093756,33736494
Angola,6776381,10609042,16440924,27859305
Albania,2135479,2964762,3089027,2880703
Andorra,24276,44600,65390,78014
Arab World,122398374,193310301,283832016,398304960
United Arab Emirates,235499,1391052,3154925,9154302
Argentina,23973058,30388783,37057452,43417765
Armenia,2525065,3335935,3069588,2916950
American Samoa,27292,39241,57521,55537
Antigua and Barbuda,67098,69782,83584,99923
Australia,12507000,15758000,19153000,23850784
Austria,7467086,7564985,8011566,8642699
Azerbaijan,5180025,6666455,8048600,9649341
Burundi,3455606,4702066,6400706,10199270
Belgium,9655549,9858308,10251250,11274196
Benin,2912340,4278501,6865951,10575952
Burkina Faso,5624600,7727907,11607942,18110624
Bangladesh,65047770,93199865,131581243,161200886
Bulgaria,8489574,8960547,8170172,7177991
Bahrain,212605,419430,664614,1371855
Bahamas, The,169354,234687,297890,386838
Bosnia and Herzegovina,3760527,4392130,3766706,3535961
Belarus,9040000,9975000,9979610,9489616
Belize,122182,164921,247315,359288
Bermuda,55000,56898,61833,65239
Bolivia,4505778,6211550,8339512,10724705
Brazil,95326793,135676281,175287587,205962108
Barbados,238848,255924,269847,284217
Brunei Darussalam,129583,224512,333241,417542
Bhutan,298301,467178,573416,787386
Botswana,695597,1189114,1728340,2209197
Central African Republic,1828709,2634232,3754986,4546100
Canada,21324000,25942000,30769700,35832513
Central Europe and the Baltics,99133296,109360296,108405522,103257751
Switzerland,6180877,6470365,7184250,8282396
Channel Islands,121197,133808,148725,163758
Chile,9563865,12181028,15262754,17762681
China,818315000,1051040000,1262645000,1371220000
Cote d'Ivoire,5242395,10222558,16686561,23108472
Cameroon,6527635,10050023,15274234,22834522
Congo, Dem. Rep.,20009935,29883446,47076387,76196619
Congo, Rep.,1364812,2127770,3225727,4995648
Colombia,22061215,31011688,40403958,48228697
Comoros,230054,355337,542357,777424
Cabo Verde,270198,315069,435079,532913
Costa Rica,1848866,2730233,3925443,4807852
Caribbean small states,4900059,5823242,6530691,7204948
Cuba,8715123,10082989,11150736,11461432
Curacao,144739,152711,133860,157980
Cayman Islands,9144,19313,41687,59963
Cyprus,613621,703687,943286,1160985
Czech Republic,9858071,10337118,10255063,10546059
Germany,78169289,77684873,82211508,81686611
Djibouti,159659,425613,717584,927414
Dominica,71073,73643,69676,73162
Denmark,4928757,5113691,5339616,5683483
Dominican Republic,4503114,6488856,8562622,10528394
Algeria,14550034,22565905,31183660,39871528
East Asia & Pacific (excluding high income),1116105178,1474560143,1815956211,2038410865
